gamma_target,seed,n,R,gamma,bound,converged,sweeps,updates,within_bound,run_id,notebook,python,numpy,scipy,platform
0.3,7,60,1.5656068632507303,0.30691245132260564,26.02174502429038,True,2,2,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.3,8,60,1.6195703142144307,0.31664009101179585,26.161811502852967,True,2,4,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.3,9,60,1.7021386112622325,0.3220421738775647,27.936008071841307,True,2,4,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.3,10,60,1.6942874686483338,0.3250131336916538,27.175176615171903,True,2,6,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.3,11,60,1.6314774630192481,0.301903454783981,29.202900727566956,True,2,6,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.3,12,60,1.6577608240065393,0.3033132771600242,29.871766208286623,True,2,4,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.3,13,60,1.6534420727197823,0.30118605581879815,30.1375709734691,True,2,2,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.3,14,60,1.6389667148653972,0.3184609800414559,26.486697582893672,True,2,2,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.3,15,60,1.6555171173458687,0.3330706776252326,24.705551317394466,True,2,2,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.3,16,60,1.6679993157548287,0.30225130283446705,30.45477345320496,True,2,2,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.3,17,60,1.616835159754455,0.3113737274676016,26.962959431203263,True,2,2,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.3,18,60,1.6478025653675445,0.30142196750049033,29.885501544888747,True,2,4,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.3,19,60,1.6980713945590087,0.3056064195156713,30.873576784138084,True,2,2,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
