eps_late,decay,margin,seed,sweeps,E,train_strict,train_top,train_n,test_strict,test_top,test_n,run_id,notebook,python,numpy,platform
0.1,0.0,끔,2,6000,31.31463303806952,38,43,100,1,1,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,0.0,끔,3,6000,6.087597695192114,88,88,100,2,3,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,0.0,끔,4,6000,53.281795352147604,0,3,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,0.0,끔,5,6000,1.0272084550234037,92,100,100,2,2,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,0.0,끔,6,6000,6.07361721940253,88,88,100,2,2,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,0.0,끔,7,6000,21.739175696296194,54,58,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,0.002,켬,0,6000,8.387067768131775,28,100,100,0,2,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,0.002,켬,1,6000,9.788725019790038,45,100,100,1,1,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,0.002,켬,2,6000,6.657108552807685,71,100,100,0,3,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,0.002,켬,3,6000,15.15932687185002,43,94,100,0,3,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,0.002,켬,4,6000,9.194961153991532,30,100,100,1,3,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,0.002,켬,5,6000,16.079718202123658,42,92,100,0,1,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,0.002,켬,6,6000,8.872852136296519,30,99,100,0,2,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,0.002,켬,7,6000,12.772629172572133,38,92,100,1,2,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,0.002,끔,0,6000,16.27353667219739,37,80,100,1,1,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,0.002,끔,1,6000,7.113995722371122,79,92,100,2,2,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,0.002,끔,2,6000,1.3995022102079357,99,100,100,3,4,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,0.002,끔,3,6000,5.2534807714995235,73,97,100,0,2,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,0.002,끔,4,6000,5.010667128019758,82,94,100,3,3,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,0.002,끔,5,6000,1.5482115982004525,98,100,100,1,3,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,0.002,끔,6,6000,4.505091828502097,92,94,100,1,3,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,0.002,끔,7,6000,1.852212402301399,96,100,100,0,2,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
